fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
16.000	0.000	-737.500	-1.7737894597e-04, -6.2239630010e-03, 1.4420664114e-04
18.000	0.000	-737.500	-1.8573613196e-04, -6.1907524516e-03, 1.3968219179e-04
20.000	0.000	-737.500	-1.9443021119e-04, -6.1521284508e-03, 1.3551503324e-04
22.000	0.000	-737.500	-2.0334764506e-04, -6.1099908137e-03, 1.3098688140e-04
24.000	0.000	-737.500	-2.1171227620e-04, -6.0640665462e-03, 1.2634210095e-04
26.000	0.000	-737.500	-2.1923002101e-04, -6.0152229149e-03, 1.2144740207e-04
28.000	0.000	-737.500	-2.2676824000e-04, -5.9618460984e-03, 1.1624354481e-04
30.000	0.000	-737.500	-2.3433623960e-04, -5.9050577861e-03, 1.1158025189e-04
32.000	0.000	-737.500	-2.4222065827e-04, -5.8452683975e-03, 1.0674294168e-04
34.000	0.000	-737.500	-2.4982960623e-04, -5.7827212128e-03, 1.0179825911e-04
36.000	0.000	-737.500	-2.5770657975e-04, -5.7172639499e-03, 9.6951692660e-05
38.000	0.000	-737.500	-2.6581621435e-04, -5.6490804617e-03, 9.2273589752e-05
40.000	0.000	-737.500	-2.7306965617e-04, -5.5774056223e-03, 8.7217832317e-05
42.000	0.000	-737.500	-2.8104527799e-04, -5.5038346821e-03, 8.1621510557e-05
44.000	0.000	-737.500	-2.8909721264e-04, -5.4280296486e-03, 7.7023011300e-05
46.000	0.000	-737.500	-2.9834409459e-04, -5.3508485027e-03, 7.1774724105e-05
48.000	0.000	-737.500	-3.0801721165e-04, -5.2717099717e-03, 6.6391295829e-05
50.000	0.000	-737.500	-3.1688997459e-04, -5.1895462220e-03, 6.0893090196e-05
