fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
-42.000	0.000	-737.500	1.3265404127e-04  -5.0242158877e-03  -3.5739817612e-04
-40.000	0.000	-737.500	1.2994958888e-04  -5.1107159698e-03  -3.5977702940e-04
-38.000	0.000	-737.500	1.2975043100e-04  -5.1952345244e-03  -3.6267238078e-04
-36.000	0.000	-737.500	1.2732889448e-04  -5.2763007270e-03  -3.6592502297e-04
-34.000	0.000	-737.500	1.2583986357e-04  -5.3541430011e-03  -3.6883703558e-04
-32.000	0.000	-737.500	1.2462630338e-04  -5.4296824691e-03  -3.7161020462e-04
-30.000	0.000	-737.500	1.2349463988e-04  -5.5014427351e-03  -3.7521273262e-04
-28.000	0.000	-737.500	1.2210053469e-04  -5.5703152081e-03  -3.7779337189e-04
-26.000	0.000	-737.500	1.2172455439e-04  -5.6348959190e-03  -3.8007781154e-04
-24.000	0.000	-737.500	1.2033044920e-04  -5.6957401414e-03  -3.8258069842e-04
-22.000	0.000	-737.500	1.2028019440e-04  -5.7527828766e-03  -3.8532424749e-04
-20.000	0.000	-737.500	1.1868879262e-04  -5.8060278389e-03  -3.8828254129e-04
-18.000	0.000	-737.500	1.1834445422e-04  -5.8545446204e-03  -3.9066509707e-04
-16.000	0.000	-737.500	1.1795172232e-04  -5.8990630619e-03  -3.9297730543e-04
-14.000	0.000	-737.500	1.1921181473e-04  -5.9387196112e-03  -3.9487298306e-04
-12.000	0.000	-737.500	1.1911875029e-04  -5.9743183933e-03  -3.9640396490e-04
-10.000	0.000	-737.500	1.1934024364e-04  -6.0055139873e-03  -3.9808860030e-04
