nMed	DataHora	Tensao
347	14/03/2017 19:22:30	9.901495
348	14/03/2017 19:22:31	9.904172
349	14/03/2017 19:22:33	9.905534
350	14/03/2017 19:22:34	9.906359
351	14/03/2017 19:22:36	9.904257
352	14/03/2017 19:22:37	9.904980
353	14/03/2017 19:22:39	9.906281
354	14/03/2017 19:22:40	9.907797
355	14/03/2017 19:22:42	9.906786
356	14/03/2017 19:22:43	9.905866
357	14/03/2017 19:22:45	9.904012
358	14/03/2017 19:22:46	9.904739
359	14/03/2017 19:22:48	9.904412
360	14/03/2017 19:22:49	9.906124
361	14/03/2017 19:22:51	9.905581
362	14/03/2017 19:22:52	9.912472
363	14/03/2017 19:22:54	9.904492
364	14/03/2017 19:22:56	9.905451
365	14/03/2017 19:22:57	9.907780
366	14/03/2017 19:22:59	9.906820
367	14/03/2017 19:23:00	9.906253
368	14/03/2017 19:23:02	9.903854
369	14/03/2017 19:23:03	9.903909
370	14/03/2017 19:23:05	9.902766
371	14/03/2017 19:23:06	9.905129
372	14/03/2017 19:23:08	9.906192
373	14/03/2017 19:23:09	9.905947
374	14/03/2017 19:23:11	9.904442
375	14/03/2017 19:23:12	9.905150
376	14/03/2017 19:23:14	9.906273
377	14/03/2017 19:23:15	9.907202
378	14/03/2017 19:23:17	9.905377
379	14/03/2017 19:23:18	9.904736
380	14/03/2017 19:23:20	9.903630
381	14/03/2017 19:23:22	9.904651
382	14/03/2017 19:23:23	9.906108
383	14/03/2017 19:23:25	9.906927
384	14/03/2017 19:23:26	9.905526
385	14/03/2017 19:23:28	9.913772
386	14/03/2017 19:23:29	9.904583
387	14/03/2017 19:23:31	9.905362
388	14/03/2017 19:23:32	9.907034
389	14/03/2017 19:23:34	9.905699
390	14/03/2017 19:23:35	9.905244
391	14/03/2017 19:23:37	9.903642
392	14/03/2017 19:23:38	9.903975
393	14/03/2017 19:23:40	9.905082
394	14/03/2017 19:23:41	9.905808
395	14/03/2017 19:23:43	9.906757
396	14/03/2017 19:23:44	9.906329
397	14/03/2017 19:23:46	9.904638
398	14/03/2017 19:23:48	9.905283
399	14/03/2017 19:23:49	9.905541
400	14/03/2017 19:23:51	9.905371
401	14/03/2017 19:23:52	9.902504
402	14/03/2017 19:23:54	9.903816
403	14/03/2017 19:23:55	9.903747
404	14/03/2017 19:23:57	9.904867
405	14/03/2017 19:23:58	9.907514
406	14/03/2017 19:24:00	9.907313
407	14/03/2017 19:24:01	9.906600
408	14/03/2017 19:24:03	9.909639
409	14/03/2017 19:24:04	9.904750
410	14/03/2017 19:24:06	9.904466
411	14/03/2017 19:24:07	9.905591
412	14/03/2017 19:24:09	9.903527
413	14/03/2017 19:24:10	9.904387
414	14/03/2017 19:24:12	9.903700
415	14/03/2017 19:24:14	9.904388
416	14/03/2017 19:24:15	9.905727
417	14/03/2017 19:24:17	9.906882
418	14/03/2017 19:24:18	9.907490
419	14/03/2017 19:24:20	9.906635
420	14/03/2017 19:24:21	9.904631
421	14/03/2017 19:24:23	9.905098
422	14/03/2017 19:24:24	9.903787
423	14/03/2017 19:24:26	9.902949
424	14/03/2017 19:24:27	9.903174
425	14/03/2017 19:24:29	9.908049
426	14/03/2017 19:24:30	9.904069
427	14/03/2017 19:24:32	9.905027
428	14/03/2017 19:24:33	9.907772
429	14/03/2017 19:24:35	9.907733
430	14/03/2017 19:24:37	9.907131
431	14/03/2017 19:24:38	9.904593
432	14/03/2017 19:24:40	9.904384
433	14/03/2017 19:24:41	9.902795
434	14/03/2017 19:24:43	9.903444
435	14/03/2017 19:24:44	9.903431
436	14/03/2017 19:24:46	9.906486
437	14/03/2017 19:24:47	9.904083
438	14/03/2017 19:24:49	9.904741
439	14/03/2017 19:24:50	9.906194
440	14/03/2017 19:24:52	9.907770
441	14/03/2017 19:24:53	9.907045
442	14/03/2017 19:24:55	9.905950
443	14/03/2017 19:24:56	9.904157
444	14/03/2017 19:24:58	9.904813
445	14/03/2017 19:25:00	9.903584
446	14/03/2017 19:25:01	9.905526
447	14/03/2017 19:25:03	9.905467
448	14/03/2017 19:25:04	9.912986
449	14/03/2017 19:25:06	9.904337
450	14/03/2017 19:25:07	9.905448
451	14/03/2017 19:25:09	9.907858
452	14/03/2017 19:25:10	9.907156
453	14/03/2017 19:25:12	9.906625
454	14/03/2017 19:25:13	9.904137
455	14/03/2017 19:25:15	9.903952
456	14/03/2017 19:25:16	9.901352
457	14/03/2017 19:25:18	9.903957
458	14/03/2017 19:25:19	9.905683
459	14/03/2017 19:25:21	9.906695
460	14/03/2017 19:25:22	9.904123
461	14/03/2017 19:25:24	9.904763
462	14/03/2017 19:25:26	9.906185
463	14/03/2017 19:25:27	9.907827
464	14/03/2017 19:25:29	9.907067
465	14/03/2017 19:25:30	9.906109
466	14/03/2017 19:25:32	9.904244
467	14/03/2017 19:25:33	9.904929
