X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
14.000	0.000	-735.500	-3.4500473948e-04, -6.2940054480e-03, 2.5483164922e-04
16.000	0.000	-735.500	-3.5188778486e-04, -6.2647356684e-03, 2.4581977548e-04
18.000	0.000	-735.500	-3.5863123360e-04, -6.2310292729e-03, 2.3814820506e-04
20.000	0.000	-735.500	-3.6564084661e-04, -6.1929345461e-03, 2.2754055581e-04
22.000	0.000	-735.500	-3.7029592950e-04, -6.1502193503e-03, 2.1881192296e-04
24.000	0.000	-735.500	-3.7625205314e-04, -6.1046962168e-03, 2.0997591774e-04
26.000	0.000	-735.500	-3.8128683891e-04, -6.0547290390e-03, 2.0057157949e-04
28.000	0.000	-735.500	-3.8708475302e-04, -6.0006762374e-03, 1.9132644854e-04
30.000	0.000	-735.500	-3.9265745120e-04, -5.9436167883e-03, 1.8202207766e-04
32.000	0.000	-735.500	-3.9739629208e-04, -5.8831978422e-03, 1.7355817323e-04
34.000	0.000	-735.500	-4.0225239413e-04, -5.8191074061e-03, 1.6414457874e-04
36.000	0.000	-735.500	-4.0641051295e-04, -5.7533102935e-03, 1.5513825874e-04
38.000	0.000	-735.500	-4.1126475372e-04, -5.6838138344e-03, 1.4658364317e-04
40.000	0.000	-735.500	-4.1658059407e-04, -5.6106477424e-03, 1.3770505926e-04
42.000	0.000	-735.500	-4.2158932180e-04, -5.5359086852e-03, 1.2880055788e-04
44.000	0.000	-735.500	-4.2699822658e-04, -5.4592196713e-03, 1.2084944906e-04
46.000	0.000	-735.500	-4.3222100250e-04, -5.3800087133e-03, 1.1257437190e-04
48.000	0.000	-735.500	-4.3811011976e-04, -5.2991077928e-03, 1.0329776973e-04
50.000	0.000	-735.500	-4.4506389411e-04, -5.2166989057e-03, 9.5202263595e-05
-50.000	0.000	-733.500	2.5833011144e-04, -5.1894607953e-03, 3.2581774181e-04
-48.000	0.000	-733.500	2.3355822095e-04, -5.2946451774e-03, 3.3158252711e-04
-46.000	0.000	-733.500	2.0889242391e-04, -5.4002399790e-03, 3.3786566176e-04
-44.000	0.000	-733.500	1.8190187736e-04, -5.5056230710e-03, 3.4245120229e-04
-42.000	0.000	-733.500	1.5793034099e-04, -5.6062055552e-03, 3.4755694341e-04
-40.000	0.000	-733.500	1.3224083520e-04, -5.7035863960e-03, 3.5202585533e-04
-38.000	0.000	-733.500	1.0722883847e-04, -5.7980720153e-03, 3.5573205320e-04
-36.000	0.000	-733.500	8.1822248553e-05, -5.8906281060e-03, 3.5926793628e-04
-34.000	0.000	-733.500	5.7091306412e-05, -5.9791450006e-03, 3.6161531835e-04
-32.000	0.000	-733.500	3.2457151280e-05, -6.0636282702e-03, 3.6353506220e-04
-30.000	0.000	-733.500	8.7461953128e-06, -6.1455357399e-03, 3.6476058817e-04
-28.000	0.000	-733.500	-1.5039212200e-05, -6.2236918641e-03, 3.6528634252e-04
-26.000	0.000	-733.500	-3.9651031868e-05, -6.2972442333e-03, 3.6530855749e-04
